ticket
http://www.semanticweb.org/aless/ontologies/2021/4/culturalis-ext#Biglietto_Mostra_Galleria_Arte_Museo_San_Domenico_2021	
http://www.semanticweb.org/aless/ontologies/2021/4/culturalis-ext#Biglietto_Museo_San_Domenico
